जबकि यह जैनों से कम है।	Jabki yah Jainon se km hai.
उन्हें निचली पहाड़ियों तथा घाटियों में नीचे की ओर आने से रोक दिया गया और ई…परी पहाड़ियों के चट्टानी और अधिक बंजर इलाकों तथा भीतरी शुष्क भागों तक सीमित कर दिया गया।	unhe nichli pahadiyo tatha ghatiyo me niche ki or ane se rok diya gaya aur E...pari pahadiyo ke chattani aur adhik banjar ilako tatha bhitri shushk bhago tak simit kar diya gaya.
इसलिये छोटानागपुर के कुड़मियों का शिवाजी महाराज और सरदार पटेल से भी एक भारतीय के अलावे किसी भी तरह का कोई सम्बन्ध नहीं है, जो बात हर किसी को अच्छी तरह से समझ लेना चाहिये।	isliye chotanagpur ke kudamiyo ka shivaji maharaja aur sardar patel se bhi ek bharatiya ke alava kisi bhi tarah ka koi sambandh nahi hai, jo baat har kisi ko acchi tarah se samajh lena chahiye.
जैकी चामौन की भागीदारी लेबनान में विवादास्पद हो गई थी, जो 2014 में घर पर पता चला था कि उसने 2011 में एक ऑस्ट्रियाई कैलेंडर के लिए सेक्सी फोटो में उकेरा था एक मंत्रिस्तरीय जांच की जा रही है, जबकि एक ऑनलाइन समर्थन विरोध "जैकी के लिए पट्टी" का आयोजन किया गया है।	jackey chamaun ki bhagidari lebnan me vivadaspad ho gai thi, jo 2014 me ghar par pata chala tha ki usne 2011 me ek austrelia calander ke lie sexy photo me ukera tha ek mantristariya janch ki ja rahi hai, jabki ek online samarthan virodh "jackey ke lie patti" ka ayojan kiya gaya hai.
यह एल्बम बैंड के लिए उनके इन द फ्लेश दौरे की विषय सामग्री बन गया, जिसके दौरान आंतरिक संघर्ष ने बैंड के भविष्य पर प्रश्न चिह्न लगा दिया।	yeh album band ke lie unke in the flash daure ki vishay samagri ban gaya, jiske dauran antarik sangharsh ne band ke bhavishya par prashna chinha laga diya.
फ़ीचर (पुरातत्व)	Feature (puratatv)
आप साहित्‍य अकादमी द्वारा सम्‍मानित किए गए हैं।	aap sahitya academy dvara sammanit kie gae hai.
गाँव का गउँटिया, ताल्लुका का दाऊ, गढ़ का जमींदार केवल वंशानुगत शासक ही नहीं होते थे वरन वे समाज के मार्गदर्शक नेता भी होते थे।	ganv ka gauntiya, talluk ka dau, gadh ka jamindar keval vanshanugat shasak hi nahi hote the varan ve samaj ke margdarshak neta bhi hote the.
उसके बाद शंकर और गौरी वहाँ से भाग जाते हैं।	uske baad shankar aur gauri vaha se bhag jate hai.
प्रेम चोपड़ा	prem chopra
यह इस क्षेत्र के सबसे लोकप्रिय मेलो में से एक है जो हिन्दू, सिख और मुस्लिम संस्कृति को प्रदर्शित करता है और स्पष्ट रूप से बहुसंख्यक प्रकृति का प्रतीक है।	yeh is kshetra ke sabse lokpriy melo me se ek hai jo hindu, sikh aur muslim sanskriti ko pradarshit karta hai aur spashta rup se bahusankhyak prakriti ka pratik hai.
मायोटोनिक पेशी अपविकास की शुरूआत में उम्र: 20 से 40 वर्ष मायोटोनिक पेशी अपविकास, पेशी अपविकास का सबसे आम वयस्क स्वरूप है।	mayotonic peshi apvikas ki shuruat me umra: 20 se 40 varsh mayotonic peshi apvikas, peshi apvikas ka sabse aam vayask svarup hai.
